synset,adverb,sentence,type
00141202-r,onshore,they were living onshore,adverb.spatial
00141305-r,thousand-fold,this poison is a thousand-fold more toxic,adverb.degree
00141437-r,naturally,naturally grown flowers,adverb.manner
00141600-r,artificially,artificially induced conditions,adverb.manner
00141793-r,acutely,an acutely debilitating virus,adverb.degree
00141918-r,chronically,chronically ill persons,adverb.temporal
00142067-r,chronically,smoking chronically,adverb.temporal
00142180-r,contradictorily,he argued contradictorily,adverb.manner
00142296-r,electrostatically,the dust adhered electrostatically to the surface,adverb.manner
00142519-r,feverishly,she worked feverishly,adverb.manner
00142621-r,feudally,a feudally organized society,adverb.manner
00142809-r,geometrically,this shape is geometrically interesting,adverb.domain
00142936-r,glacially,glacially deposited material,adverb.manner
00143036-r,glaringly,it was glaringly obvious,adverb.degree
00143139-r,gravitationally,gravitationally strong forces,adverb.domain
00143261-r,gutturally,gutturally articulated,adverb.manner
00143364-r,hieroglyphically,hieroglyphically written,adverb.manner
00143478-r,homeostatically,blood pressure is homeostatically regulated,adverb.manner
00143696-r,humanly,humanly possible,adverb.domain
00143799-r,imperially,imperially decreed,adverb.manner
00143899-r,incestuously,incestuously conceived,adverb.manner
00143993-r,inconceivably,inconceivably small,adverb.degree
00144182-r,institutionally,institutionally controlled,adverb.domain
00144291-r,judicially,judicially controlled process,adverb.domain
00144401-r,nasally,inhaled nasally,adverb.manner
00144491-r,nocturnally,nocturnally active bird,adverb.temporal
00144655-r,spherically,spherically shaped,adverb.manner
00144756-r,superficially,he was superficially interested,adverb.degree
00144874-r,syllabically,syllabically pronounced,adverb.manner
00145227-r,tangentially,touched on it tangentially,adverb.manner
00145328-r,volcanically,volcanically created landscape,adverb.manner
00145441-r,awhile,sit down and stay awhile,adverb.temporal
00145441-r,awhile,they settled awhile in Virginia before moving West,adverb.temporal
00145622-r,wickedly,act wickedly,adverb.manner
00145622-r,evilly,grin evilly,adverb.manner
00145758-r,surely,the results are surely encouraging,adverb.speaker_oriented
00145758-r,certainly,she certainly is a hard worker,adverb.speaker_oriented
00145758-r,sure,it's going to be a good day for sure,adverb.speaker_oriented
00145758-r,sure,they thought he had been killed sure enough,adverb.speaker_oriented
00145758-r,sure,he'll win sure as shooting,adverb.speaker_oriented
00145758-r,sure,they sure smell good,adverb.degree
00145758-r,sure,sure he'll come,adverb.speaker_oriented
00146264-r,surprisingly,he was surprisingly friendly,adverb.speaker_oriented
00146377-r,technologically,technologically impossible,adverb.domain
00146491-r,temperamentally,temperamentally suited to each other,adverb.domain
00146607-r,sufficiently,she was sufficiently fluent in Mandarin,adverb.degree
00146890-r,insufficiently,he was insufficiently prepared,adverb.degree
00147028-r,unhesitatingly,she said yes unhesitatingly,adverb.manner
00147156-r,hesitantly,he finally accepted hesitantly,adverb.manner
00147317-r,thereafter,thereafter he never called again,adverb.temporal
00147423-r,ever,did you ever smoke?,adverb.temporal
00147630-r,so,the idea is so obvious,adverb.degree
00147630-r,so,never been so happy,adverb.degree
00147630-r,so,I love you so,adverb.degree
00147799-r,so,he was so tired he could hardly stand,adverb.degree
00147799-r,so,so dirty that it smells,adverb.degree
00147962-r,so,They're happy and I hope they will remain so,adverb.degree
00147962-r,so,so live your life that old age will bring no regrets,adverb.manner
00148162-r,so,I can only go so far with this student,adverb.degree
00148162-r,so,can do only so much in a day,adverb.degree
00148308-r,so,I was offended and so was he,adverb.focus
00148308-r,so,worked hard and so did she,adverb.focus
00148422-r,such,he is such a baby,adverb.degree
00148821-r,handily,she beat him handily,adverb.manner
00148912-r,easily,she was easily excited,adverb.degree
00148912-r,easily,was easily confused,adverb.manner
00148912-r,easily,he won easily,adverb.manner
00148912-r,easily,this china breaks very easily,adverb.manner
00148912-r,easy,success came too easy,adverb.manner
00149175-r,easy,just wanted to take it easy,adverb.manner
00149175-r,easy,the judge went easy on the young defendant,adverb.manner
00150196-r,actually,you may actually be doing the right thing by walking out,adverb.speaker_oriented
00150196-r,actually,she actually spoke Latin,adverb.conjunctive
00150568-r,actually,to be nominally but not actually independent,adverb.degree
00150568-r,actually,no one actually saw the shark,adverb.speaker_oriented
00150568-r,actually,large meteorites actually come from the asteroid belt,adverb.speaker_oriented
00150802-r,actually,I'm not all that surprised actually,adverb.speaker_oriented
00150802-r,actually,"she hasn't proved to be too satisfactory, actually",adverb.speaker_oriented
00151061-r,actually,the transmission screen shows the picture that is actually on the air,adverb.conjunctive
00154531-r,loosely,loosely knit,adverb.degree
00154531-r,loosely,loosely woven cloth,adverb.manner
00154531-r,loosely,loosely structured organization,adverb.degree
00154701-r,carefully,they watched carefully,adverb.manner
00155110-r,excitedly,she shook his hand excitedly,adverb.manner
00155235-r,vociferously,he complained vociferously,adverb.manner
00155346-r,safely,we are safely out of there,adverb.manner
00155440-r,allegedly,he was on trial for allegedly murdering his wife,adverb.speaker_oriented
00155669-r,illegally,they dumped the waste illegally,adverb.manner
00156018-r,comfortably,he works comfortably on three continents,adverb.manner
00156153-r,comfortably,she could have been lying comfortably in bed getting the same relief,adverb.manner
00156320-r,uncomfortably,"she lay on the couch, her body uncomfortably twisted",adverb.degree
00156621-r,later,I'll see you later,adverb.temporal
00157777-r,orally,he was administered the drug orally,adverb.manner
00158333-r,deadpan,she told the joke deadpan,adverb.manner
00158747-r,completely,he had filled out the form completely,adverb.degree
00158747-r,completely,the apartment was completely furnished,adverb.degree
00158934-r,incompletely,words incompletely understood,adverb.degree
00158934-r,incompletely,a form filled out incompletely,adverb.manner
00159090-r,alone,the child stayed home alone,adverb.manner
00159090-r,solo,he flew solo,adverb.manner
00159432-r,precisely,he was doing precisely (or exactly) what she had told him to do,adverb.focus
00159432-r,just,it was just as he said — the jewel was gone,adverb.degree
00159432-r,just,it has just enough salt,adverb.degree
00161639-r,closely,the onsets were closely timed,adverb.degree
00161639-r,closely,houses set closely together,adverb.manner
00161639-r,closely,was closely involved in monitoring daily progress,adverb.degree
00161858-r,intimately,the two phenomena are intimately connected,adverb.degree
00161858-r,nearly,the person most nearly concerned,adverb.degree
00162033-r,relatively,the situation is relatively calm now,adverb.degree
00162217-r,predominantly,the patients are predominantly indigenous,adverb.degree
00162392-r,readily,these snakes can be identified readily,adverb.manner
00162493-r,markedly,sales of luxury cars dropped markedly,adverb.degree
00162619-r,palpably,she was palpably nervous,adverb.degree
00162722-r,crudely,he was crudely bold,adverb.manner
00162829-r,slowly,he spoke slowly,adverb.manner
00162829-r,easy,go easy here — the road is slippery,adverb.manner
00162829-r,tardily,glaciers move tardily,adverb.manner
00162829-r,slow,please go slow so I can see the sights,adverb.manner
00163131-r,publicly,she admitted publicly to being a communist,adverb.manner
00163336-r,privately,it was discussed privately between the two men,adverb.manner
00163336-r,privately,some member of his own party hoped privately for his defeat,adverb.manner
00163672-r,secretly,they were secretly delighted at his embarrassment,adverb.manner
00163672-r,secretly,hoped secretly she would change her mind,adverb.manner
00163844-r,privately,a privately financed campaign,adverb.manner
00163964-r,publicly,publicly provided medical care,adverb.manner
00163964-r,publicly,publicly financed schools,adverb.manner
00164137-r,communally,the mills were owned communally,adverb.manner
00164275-r,reprovingly,she spoke to him reprovingly,adverb.manner
00164435-r,gaily,the scandals were gaily diverting,adverb.manner
00164789-r,helter-skelter,the books were piled up helter-skelter,adverb.manner
00165190-r,harum-scarum,dashing harum-scarum all over the place,adverb.manner
00165190-r,pell-mell,running pell-mell up the stairs,adverb.manner
00165349-r,carelessly,carelessly raised the children's hopes without thinking of their possible disappointment,adverb.manner
00166097-r,coldly,he addressed her coldly,adverb.manner
00166233-r,earnestly,talking earnestly with his son,adverb.manner
00166233-r,seriously,a play dealing seriously with the question of divorce,adverb.manner
00167240-r,long,a promotion long overdue,adverb.temporal
00167240-r,long,something long hoped for,adverb.temporal
00167240-r,long,his name has long been forgotten,adverb.temporal
00167240-r,long,talked all night long,adverb.temporal
00167240-r,long,how long will you be gone?,adverb.temporal
00167240-r,long,arrived long before he was expected,adverb.temporal
00167240-r,long,it is long after your bedtime,adverb.temporal
00167727-r,secretly,met secretly to discuss the invasion plans,adverb.manner
00167727-r,secretly,the children secretly went to the movies when they were supposed to be at the library,adverb.manner
00168943-r,vainly,the city fathers tried vainly to find a solution,adverb.manner
00169098-r,unsuccessfully,she tried unsuccessfully to persuade him to buy a new car,adverb.manner
00170623-r,confidentially,spoke to him intimately and confidentially,adverb.manner
00171499-r,theoretically,he worked the problem out theoretically,adverb.manner
00174412-r,bravely,bravely he went into the burning house,adverb.subject_oriented
00174563-r,overboard,they dropped their garbage overboard,adverb.spatial
00174678-r,upstate,he lives upstate New York,adverb.spatial
00174785-r,deeply,They felt the loss deeply,adverb.degree
00174785-r,intensely,she loved him intensely,adverb.degree
00174984-r,impatiently,he answered her impatiently,adverb.manner
00175130-r,patiently,he patiently played with the child,adverb.manner
00175276-r,tensely,he sat down tensely,adverb.manner
00175370-r,methodically,she worked methodically,adverb.manner
00175478-r,blindly,he felt around his desk blindly,adverb.manner
00175592-r,apologetically,he spoke apologetically about his past,adverb.manner
00175718-r,unsteadily,he walked unsteadily toward the exit,adverb.manner
00175718-r,unsteadily,The wounded soldier was swinging unsteadily on his legs,adverb.manner
00175977-r,steadily,he could still walk steadily,adverb.manner
